Timestamp,ECG
07/05/2018 10:47:28.942,2021
07/05/2018 10:47:28.946,2020
07/05/2018 10:47:28.950,2019
07/05/2018 10:47:28.954,2018
07/05/2018 10:47:28.958,2018
07/05/2018 10:47:28.962,2019
07/05/2018 10:47:28.966,2021
07/05/2018 10:47:28.970,2022
07/05/2018 10:47:28.974,2023
07/05/2018 10:47:28.978,2023
07/05/2018 10:47:28.982,2021
07/05/2018 10:47:28.986,2020
07/05/2018 10:47:28.990,2019
07/05/2018 10:47:28.994,2019
07/05/2018 10:47:28.998,2020
07/05/2018 10:47:29.002,2022
07/05/2018 10:47:29.006,2023
07/05/2018 10:47:29.010,2024
07/05/2018 10:47:29.014,2024
07/05/2018 10:47:29.018,2023
07/05/2018 10:47:29.022,2022
07/05/2018 10:47:29.026,2022
07/05/2018 10:47:29.030,2022
07/05/2018 10:47:29.034,2022
07/05/2018 10:47:29.038,2023
07/05/2018 10:47:29.042,2023
07/05/2018 10:47:29.046,2024
07/05/2018 10:47:29.050,2025
07/05/2018 10:47:29.054,2026
07/05/2018 10:47:29.058,2027
07/05/2018 10:47:29.062,2026
07/05/2018 10:47:29.066,2025
07/05/2018 10:47:29.070,2024
07/05/2018 10:47:29.074,2024
07/05/2018 10:47:29.078,2025
07/05/2018 10:47:29.082,2026
07/05/2018 10:47:29.086,2026
07/05/2018 10:47:29.090,2026
07/05/2018 10:47:29.094,2026
07/05/2018 10:47:29.098,2025
07/05/2018 10:47:29.102,2026
07/05/2018 10:47:29.106,2027
07/05/2018 10:47:29.110,2028
07/05/2018 10:47:29.114,2028
07/05/2018 10:47:29.118,2028
07/05/2018 10:47:29.122,2029
07/05/2018 10:47:29.126,2029
07/05/2018 10:47:29.130,2030
07/05/2018 10:47:29.134,2030
07/05/2018 10:47:29.138,2030
07/05/2018 10:47:29.142,2028
07/05/2018 10:47:29.146,2027
07/05/2018 10:47:29.150,2027
07/05/2018 10:47:29.154,2028
07/05/2018 10:47:29.158,2029
07/05/2018 10:47:29.162,2030
07/05/2018 10:47:29.166,2031
07/05/2018 10:47:29.170,2031
07/05/2018 10:47:29.174,2031
07/05/2018 10:47:29.178,2031
07/05/2018 10:47:29.182,2030
07/05/2018 10:47:29.186,2030
07/05/2018 10:47:29.190,2031
07/05/2018 10:47:29.194,2031
07/05/2018 10:47:29.198,2032
07/05/2018 10:47:29.202,2032
07/05/2018 10:47:29.206,2032
07/05/2018 10:47:29.210,2032
07/05/2018 10:47:29.214,2032
07/05/2018 10:47:29.218,2032
07/05/2018 10:47:29.222,2033
07/05/2018 10:47:29.226,2033
07/05/2018 10:47:29.230,2033
07/05/2018 10:47:29.234,2033
07/05/2018 10:47:29.238,2034
07/05/2018 10:47:29.242,2034
07/05/2018 10:47:29.246,2034
07/05/2018 10:47:29.250,2034
07/05/2018 10:47:29.254,2034
07/05/2018 10:47:29.258,2034
07/05/2018 10:47:29.262,2034
07/05/2018 10:47:29.266,2034
07/05/2018 10:47:29.270,2035
07/05/2018 10:47:29.274,2035
07/05/2018 10:47:29.278,2035
07/05/2018 10:47:29.282,2035
07/05/2018 10:47:29.286,2035
07/05/2018 10:47:29.290,2035
07/05/2018 10:47:29.294,2035
07/05/2018 10:47:29.298,2036
07/05/2018 10:47:29.302,2036
07/05/2018 10:47:29.306,2037
07/05/2018 10:47:29.310,2037
07/05/2018 10:47:29.314,2037
07/05/2018 10:47:29.318,2036
07/05/2018 10:47:29.322,2035
07/05/2018 10:47:29.326,2036
07/05/2018 10:47:29.330,2037
07/05/2018 10:47:29.334,2040
07/05/2018 10:47:29.338,2042
07/05/2018 10:47:29.342,2044
07/05/2018 10:47:29.346,2043
07/05/2018 10:47:29.350,2043
07/05/2018 10:47:29.354,2043
07/05/2018 10:47:29.358,2044
07/05/2018 10:47:29.362,2046
07/05/2018 10:47:29.366,2048
07/05/2018 10:47:29.370,2048
07/05/2018 10:47:29.374,2048
07/05/2018 10:47:29.378,2046
07/05/2018 10:47:29.382,2042
07/05/2018 10:47:29.386,2039
07/05/2018 10:47:29.390,2037
07/05/2018 10:47:29.394,2036
07/05/2018 10:47:29.398,2036
07/05/2018 10:47:29.402,2037
07/05/2018 10:47:29.406,2038
07/05/2018 10:47:29.410,2038
07/05/2018 10:47:29.414,2038
07/05/2018 10:47:29.418,2038
07/05/2018 10:47:29.422,2038
07/05/2018 10:47:29.426,2037
07/05/2018 10:47:29.430,2036
07/05/2018 10:47:29.434,2036
07/05/2018 10:47:29.438,2036
07/05/2018 10:47:29.442,2035
07/05/2018 10:47:29.446,2032
07/05/2018 10:47:29.450,2032
07/05/2018 10:47:29.454,2039
07/05/2018 10:47:29.458,2057
07/05/2018 10:47:29.462,2093
07/05/2018 10:47:29.466,2149
07/05/2018 10:47:29.470,2220
07/05/2018 10:47:29.474,2294
07/05/2018 10:47:29.478,2347
07/05/2018 10:47:29.482,2353
07/05/2018 10:47:29.486,2296
07/05/2018 10:47:29.490,2187
07/05/2018 10:47:29.494,2058
07/05/2018 10:47:29.498,1950
07/05/2018 10:47:29.502,1889
07/05/2018 10:47:29.506,1881
07/05/2018 10:47:29.510,1908
07/05/2018 10:47:29.514,1947
07/05/2018 10:47:29.518,1981
07/05/2018 10:47:29.522,2005
07/05/2018 10:47:29.526,2022
07/05/2018 10:47:29.530,2036
07/05/2018 10:47:29.534,2044
07/05/2018 10:47:29.538,2048
07/05/2018 10:47:29.542,2048
07/05/2018 10:47:29.546,2048
07/05/2018 10:47:29.550,2047
07/05/2018 10:47:29.554,2047
07/05/2018 10:47:29.558,2048
07/05/2018 10:47:29.562,2050
07/05/2018 10:47:29.566,2053
07/05/2018 10:47:29.570,2056
07/05/2018 10:47:29.574,2057
07/05/2018 10:47:29.578,2058
07/05/2018 10:47:29.582,2058
07/05/2018 10:47:29.586,2058
07/05/2018 10:47:29.590,2059
07/05/2018 10:47:29.594,2060
07/05/2018 10:47:29.598,2062
07/05/2018 10:47:29.602,2064
07/05/2018 10:47:29.606,2065
07/05/2018 10:47:29.610,2067
07/05/2018 10:47:29.614,2067
07/05/2018 10:47:29.618,2068
07/05/2018 10:47:29.622,2067
07/05/2018 10:47:29.626,2067
07/05/2018 10:47:29.630,2068
07/05/2018 10:47:29.634,2069
07/05/2018 10:47:29.638,2071
07/05/2018 10:47:29.642,2074
07/05/2018 10:47:29.646,2076
07/05/2018 10:47:29.650,2078
07/05/2018 10:47:29.654,2079
07/05/2018 10:47:29.658,2079
07/05/2018 10:47:29.662,2079
07/05/2018 10:47:29.666,2079
07/05/2018 10:47:29.670,2080
07/05/2018 10:47:29.674,2082
07/05/2018 10:47:29.678,2086
07/05/2018 10:47:29.682,2089
07/05/2018 10:47:29.686,2092
07/05/2018 10:47:29.690,2095
07/05/2018 10:47:29.694,2097
07/05/2018 10:47:29.698,2100
07/05/2018 10:47:29.702,2103
07/05/2018 10:47:29.706,2106
07/05/2018 10:47:29.710,2108
07/05/2018 10:47:29.714,2110
07/05/2018 10:47:29.718,2113
07/05/2018 10:47:29.722,2116
07/05/2018 10:47:29.726,2120
07/05/2018 10:47:29.730,2125
07/05/2018 10:47:29.734,2130
07/05/2018 10:47:29.738,2133
07/05/2018 10:47:29.742,2136
07/05/2018 10:47:29.746,2139
07/05/2018 10:47:29.750,2141
07/05/2018 10:47:29.754,2143
07/05/2018 10:47:29.758,2145
07/05/2018 10:47:29.762,2146
07/05/2018 10:47:29.766,2148
07/05/2018 10:47:29.770,2148
07/05/2018 10:47:29.774,2148
07/05/2018 10:47:29.778,2148
07/05/2018 10:47:29.782,2147
07/05/2018 10:47:29.786,2146
07/05/2018 10:47:29.790,2144
07/05/2018 10:47:29.794,2141
07/05/2018 10:47:29.798,2136
07/05/2018 10:47:29.802,2131
07/05/2018 10:47:29.806,2125
07/05/2018 10:47:29.810,2117
07/05/2018 10:47:29.814,2109
07/05/2018 10:47:29.818,2100
07/05/2018 10:47:29.822,2089
07/05/2018 10:47:29.826,2079
07/05/2018 10:47:29.830,2070
07/05/2018 10:47:29.834,2062
07/05/2018 10:47:29.838,2055
07/05/2018 10:47:29.842,2049
07/05/2018 10:47:29.846,2044
07/05/2018 10:47:29.850,2039
07/05/2018 10:47:29.854,2035
07/05/2018 10:47:29.858,2031
07/05/2018 10:47:29.862,2028
07/05/2018 10:47:29.866,2026
